Range,Primes Found,Duration
509000,42216,0.059305199
510000,42291,0.060227197
511000,42363,0.05947835
512000,42445,0.060392009
513000,42515,0.060702677
514000,42592,0.060712134
515000,42673,0.061171321
516000,42739,0.060226148
517000,42824,0.061250998
518000,42907,0.060566872
519000,42983,0.062319561
520000,43061,0.062048967
521000,43134,0.062117124
522000,43217,0.061647667
523000,43296,0.066021951
524000,43365,0.062560789
525000,43442,0.06651438
526000,43521,0.062784759
527000,43605,0.063032123
528000,43677,0.061446388
529000,43747,0.0634997
530000,43825,0.063194037
531000,43905,0.064755415
532000,43973,0.063000909
533000,44052,0.063428091
534000,44126,0.064107372
535000,44198,0.064090734
536000,44269,0.064713608
537000,44356,0.06391215
538000,44423,0.065381369
539000,44501,0.065081974
540000,44572,0.064614627
541000,44645,0.069318765
542000,44722,0.065284602
543000,44800,0.065517514
544000,44881,0.064920348
545000,44949,0.067048682
546000,45018,0.065310836
547000,45091,0.066867458
548000,45167,0.066234222
549000,45244,0.065889978
550000,45322,0.066769389
551000,45401,0.066869835
552000,45476,0.06711283
553000,45547,0.067191171
554000,45627,0.067924174
555000,45704,0.06800534
556000,45765,0.068578572
557000,45853,0.067291155
558000,45921,0.068500121
559000,45995,0.067962461
560000,46072,0.067742151
561000,46158,0.068423644
562000,46219,0.06873314
563000,46302,0.067790951
564000,46369,0.069803404
565000,46446,0.069193594
566000,46524,0.069775375
567000,46596,0.069328086
568000,46668,0.069578859
569000,46739,0.070290435
570000,46819,0.070017048
571000,46904,0.068998845
572000,46976,0.070557563
573000,47061,0.070975905
574000,47133,0.07040102
575000,47203,0.070430652
576000,47280,0.072030687
577000,47358,0.071289957
578000,47435,0.071283557
579000,47511,0.071531849
580000,47588,0.072187264
581000,47661,0.072965088
582000,47740,0.07101894
583000,47813,0.072762032
584000,47891,0.071285049
585000,47963,0.072546891
586000,48044,0.072414092
587000,48123,0.073870932
588000,48210,0.071802123
589000,48283,0.072782325
590000,48351,0.073959212
591000,48422,0.073105022
592000,48489,0.073439475
593000,48569,0.072748249
594000,48646,0.074578096
595000,48724,0.074669317
596000,48801,0.074778809
597000,48880,0.075976354
598000,48953,0.075288438
599000,49025,0.075178364
600000,49098,0.074510751
601000,49174,0.076233435
602000,49247,0.075055519
603000,49330,0.076100425
604000,49406,0.075827812
605000,49479,0.076362944
606000,49553,0.077109735
607000,49625,0.076937558
608000,49703,0.076514632
609000,49781,0.076612481
610000,49861,0.077204775
611000,49934,0.07864298
612000,50005,0.07612605
613000,50081,0.076446299
614000,50160,0.078015883
615000,50231,0.079061831
616000,50306,0.077624115
617000,50391,0.077845343
618000,50472,0.077741936
619000,50539,0.078319954
620000,50612,0.079113834
621000,50689,0.079633576
622000,50759,0.079259609
623000,50833,0.078752154
624000,50908,0.080379989
625000,50986,0.080097149
626000,51055,0.080166943
627000,51125,0.080444149
628000,51195,0.081759859
629000,51266,0.080406132
630000,51341,0.081542603
631000,51408,0.081645639
632000,51489,0.085961564
633000,51566,0.085011726
634000,51636,0.081085846
635000,51718,0.082096285
636000,51796,0.083636254
637000,51869,0.081835027
638000,51943,0.083051318
639000,52002,0.081882902
640000,52074,0.082401327
641000,52151,0.083982391
642000,52222,0.081740975
643000,52290,0.082740325
644000,52360,0.08305508
645000,52446,0.083946817
646000,52521,0.083610878
647000,52595,0.083669857
648000,52674,0.08251281
649000,52747,0.084949576
650000,52831,0.085468791
651000,52892,0.08365583
652000,52966,0.085821234
653000,53051,0.084486962
654000,53120,0.08616168
655000,53198,0.085176125
656000,53271,0.084835826
657000,53342,0.085685996
658000,53412,0.086422271
659000,53491,0.085328187
660000,53564,0.086098891
661000,53647,0.085326944
662000,53717,0.087830805
663000,53791,0.086973468
664000,53868,0.087165112
665000,53945,0.086957484
666000,54022,0.087902479
667000,54095,0.089825921
668000,54169,0.087695727
669000,54235,0.089302944
670000,54309,0.088361699
671000,54384,0.088459367
672000,54460,0.086620129
673000,54536,0.088552198
674000,54613,0.089192258
675000,54686,0.088257552
676000,54761,0.089698742
677000,54835,0.089458824
678000,54898,0.089014556
679000,54980,0.089295184
680000,55063,0.089673312
681000,55138,0.089838467
682000,55216,0.090728922
683000,55282,0.090736079
684000,55360,0.090944683
685000,55432,0.091344729
686000,55506,0.091755161
687000,55580,0.089546822
688000,55662,0.091186582
689000,55736,0.090685284
690000,55815,0.092364649
691000,55875,0.091226525
692000,55954,0.092769882
693000,56031,0.091663288
694000,56104,0.093239938
695000,56180,0.091579888
696000,56257,0.091953666
697000,56330,0.093771841
698000,56409,0.092673233
699000,56471,0.092947602
700000,56543,0.093271218
701000,56618,0.093714063
702000,56689,0.093507077
703000,56770,0.092624503
704000,56841,0.093011774
705000,56928,0.096053161
706000,56996,0.095158245
707000,57078,0.094309345
708000,57152,0.095735375
709000,57229,0.094164482
710000,57306,0.096165913
711000,57384,0.095236255
712000,57460,0.095051787
713000,57532,0.09629879
714000,57605,0.095811654
715000,57671,0.096427434
716000,57754,0.096446293
717000,57823,0.096140342
718000,57888,0.098366825
719000,57955,0.095505586
720000,58029,0.096918562
721000,58107,0.097382631
722000,58184,0.096499984
723000,58257,0.097188505
724000,58343,0.099510553
725000,58418,0.097711647
726000,58487,0.098280573
727000,58563,0.098290481
728000,58638,0.097786248
729000,58714,0.10030795
730000,58789,0.097513436
731000,58858,0.097699086
732000,58934,0.098649301
733000,59005,0.097870318
734000,59080,0.100106308
735000,59154,0.100059438
736000,59233,0.099566847
